Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
Western Australia,Australia,-31.9505,115.8605,23-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,24-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,24-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,24-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,24-02-2020,5,0,1,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,24-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,24-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,24-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,24-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,25-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,25-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,25-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,25-02-2020,5,0,1,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,25-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,25-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,25-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,25-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,26-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,26-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,26-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,26-02-2020,5,0,1,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,26-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,26-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,26-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,26-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,27-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,27-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,27-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,27-02-2020,5,0,1,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,27-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,27-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,27-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,27-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,28-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,28-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,28-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,28-02-2020,5,0,1,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,28-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,28-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,28-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,28-02-2020,0,0,0,0,Western Pacific
